Model,Test_Accuracy,Test_Macro_F1
EfficientNet-B2,0.7965367965367965,0.749046299157426
DenseNet121,0.7813852813852814,0.7437341303034062
EfficientNet-B2 + TTA,0.7857142857142857,0.737064583483227
DenseNet121 + TTA,0.7965367965367965,0.7575309359992742
B2 + DenseNet121 Ensemble,0.8073593073593074,0.7507707319490038
