Model,Val_Accuracy,Val_Macro_F1,Test_Accuracy,Test_Macro_F1
EfficientNet-B2,0.7982646420824295,0.7717039655605661,0.7965367965367965,0.749046299157426
DenseNet121,0.7960954446854663,0.7879267154763243,0.7813852813852814,0.7437341303034062
LeafFocus-AttentionNet Lite,0.7809110629067245,0.7700812258263257,0.7597402597402597,0.7263987251540288
EfficientNet-B0,0.7440347071583514,0.7133917216690351,0.7359307359307359,0.7041064658835913
