Model,Val_Accuracy,Val_Macro_F1,Test_Accuracy,Test_Macro_F1
EfficientNet-B0,0.7440347071583514,0.7133917216690351,0.7359307359307359,0.7041064658835913
DenseNet121,0.7960954446854663,0.7879267154763243,0.7813852813852814,0.7437341303034062
