phase,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
phase1_head_only,1,0.4731522930316243,0.9298653042266605,0.42403714459009645,0.9197396963123644,0.6937976842294229,0.001
phase1_head_only,2,0.40058400718987514,0.9326521133302369,0.40267898876082614,0.9067245119305857,0.7271250602243788,0.001
phase2_full_finetune,1,0.3691611149410176,0.9354389224338133,0.355784102789492,0.93058568329718,0.7705611546596989,1.9238795325112867e-05
phase2_full_finetune,2,0.3150943041650628,0.9633070134695774,0.336291788457014,0.9327548806941431,0.8032762062082731,1.7071067811865474e-05
phase2_full_finetune,3,0.30551000633629544,0.9609846725499304,0.32173906463863017,0.9414316702819957,0.8250474383301708,1.3826834323650899e-05
phase2_full_finetune,4,0.2968988746086276,0.9637714816535068,0.3148282829696341,0.9414316702819957,0.8286599215362379,9.999999999999999e-06
phase2_full_finetune,5,0.28057678401663977,0.9702740362285184,0.3068676403442846,0.9414316702819957,0.8286599215362379,6.173165676349102e-06
phase2_full_finetune,6,0.2697168171156632,0.9739897816999535,0.3004730926935688,0.9501084598698482,0.8443504939739581,2.9289321881345252e-06
phase2_full_finetune,7,0.25652970777131545,0.979098931723177,0.3009252514601271,0.9501084598698482,0.8477389893303847,7.612046748871327e-07
phase2_full_finetune,8,0.25858927685966393,0.979098931723177,0.29868375220681476,0.9522776572668112,0.8527584204413472,0.0
