phase,epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr
phase1_head_only,1,1.4693945878835484,0.4979098931723177,1.1656067829070018,0.6572668112798264,0.6464355345999602,0.0008
phase1_head_only,2,1.1456141062132768,0.658151416627961,1.073095338657466,0.6898047722342733,0.6799140978413124,0.0008
phase2_full_finetune,1,0.970264172199655,0.7250348351137947,0.9922941619946486,0.7158351409978309,0.7001445748821702,1.9238795325112867e-05
phase2_full_finetune,2,0.8731785621191256,0.7603344170924292,0.9423350629734114,0.735357917570499,0.7184928986662172,1.7071067811865474e-05
phase2_full_finetune,3,0.8182287452611822,0.7942405945192754,0.9265916655870425,0.7483731019522777,0.7410123411317181,1.3826834323650899e-05
phase2_full_finetune,4,0.7589198687549419,0.8137482582443103,0.901872588471063,0.7809110629067245,0.7700812258263257,9.999999999999999e-06
phase2_full_finetune,5,0.7323139716567851,0.8365071992568509,0.8896094097103318,0.7765726681127982,0.7647902662291101,6.173165676349102e-06
phase2_full_finetune,6,0.7183314666491135,0.8346493265211333,0.8974864000612123,0.7787418655097614,0.7648983848573467,2.9289321881345252e-06
phase2_full_finetune,7,0.70931204717435,0.8392940083604273,0.8801611630880393,0.7809110629067245,0.7699044173427734,7.612046748871327e-07
